fix_xi,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
mae,0.135260035,0.134828598,0.103713428,0.129748721,0.084447053,0.123552107,0.143211298,0.166137844,0.177836821,0.110582376,0.241437421,0.265195425,0.244433591,0.240709915,0.258828288
relative variance (rv),0.94137496,0.937818444,0.961188254,0.944184212,0.979597689,0.956290117,0.943821876,0.923640539,0.899084613,0.962600965,0.839603792,0.836468214,0.857831206,0.861857299,0.848855322
ppmc,0.969548808,0.969519452,0.982210483,0.972697372,0.988480035,0.979835686,0.969813458,0.957902232,0.952464924,0.982512404,0.92174288,0.922869043,0.926650339,0.928070456,0.921754743
mae_lower,0.131108373,0.130643851,0.100667541,0.125950087,0.081794592,0.120093787,0.139129537,0.161306366,0.171687266,0.107367419,0.234508142,0.257984019,0.237381321,0.233841806,0.25201261
rv_lower,0.931519341,0.928263617,0.952657947,0.935081442,0.972810161,0.949490441,0.934356366,0.91330667,0.887430944,0.955573752,0.826020767,0.823372639,0.84458876,0.84779,0.83585109
ppmc_lower,0.967592144,0.96761827,0.980983642,0.970996909,0.987741733,0.978780653,0.968208744,0.95560267,0.949894353,0.981508098,0.91783455,0.919846622,0.923566915,0.925072403,0.918419405
mae_upper,0.139230809,0.13878641,0.106706284,0.133621958,0.087195803,0.127429308,0.147658612,0.171243658,0.183457015,0.113887701,0.248667721,0.272905858,0.251483031,0.24792064,0.265794287
rv_upper,0.950887604,0.947374781,0.968874995,0.953279395,0.986081321,0.963635212,0.95278974,0.93472156,0.910689582,0.970026103,0.853103969,0.850501158,0.870992831,0.875796857,0.861923407
ppmc_upper,0.971473322,0.97128848,0.983290298,0.974353374,0.989127437,0.980840882,0.971467658,0.960264963,0.955241728,0.983447979,0.92563914,0.925687319,0.92987418,0.930992758,0.925064945
variance,57.46172353,57.24660733,58.65394621,57.60596064,59.78769001,58.35992066,57.60291063,56.38163337,54.87745683,58.75046856,51.23281975,51.03542681,52.36366309,52.59673532,51.81044618
