names,PAWNi,PAWNi_conf
x1,0.3649,0.08972364533626145
x2,0.3602,0.08582618573632364
x3,0.3656,0.0820446146539696
x4,0.3148,0.07186083368863963
x5,0.0891,0.04419579941234958
x6,0.07,0.048403003159835215
x7,0.0991,0.0465336781283812
x8,0.0817,0.043713296059620425
x9,0.0846,0.0574637311324611
x10,0.0584,0.04255630603617845
x11,0.0676,0.042320306285800566
x12,0.0445,0.03690786583859739
x13,0.0455,0.04306671106107989
x14,0.04,0.037775592785904324
x15,0.0374,0.041592006314531346
x16,0.041,0.04512002805435116
x17,0.038,0.042063807607246505
x18,0.0446,0.037471896254839814
x19,0.03574844844844845,0.03934412058396587
x20,0.03571191191191191,0.04105183392747348
x21,0.0311,0.041856573530327866
dummy,0.0283,0.04040935101148092
